
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106006
			BB15-000165-91	BB15-000165-91	VALVE, NEEDLE, .250 FM/P,20000 PSI, 2 WA	DepReq	ProjSt			-2					06.12.2022	V01	             8792202		BC0	EA	            150
			BB28-000187-14	BB28-000187-14	WELDMENT,BRACKET,MOUNTING ELECTRICAL 6 P	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC4	EA	            180
			BB17-000114-74	BB17-000114-74	PLUG,HEX HD,.250 MNPT,316 SST,10000 PSI	DepReq	ShpgNt	         4501726954	                  10	-1	              2			23.05.2022	06.12.2022	C03	             8792202		M25	EA	            159
			10041168	10041168	ICON CORE SEM 1200 BAUD 4K PROTOCOL	DepReq	POitem	         4501745208	                  10	-1	              2			15.12.2022	06.12.2022	M01	             8792202		BA1	EA	            130
			BB15-000173-12	BB15-000173-12	RAW-TBG, SEAMLESS, .250 OD X .109 ID, .0	DepReq	ProjSt			-9,690					06.12.2022	C03	             8792202		M25	FT	            140
			BB20-000111-66	BB20-000111-66	O-RING, 177,17x5,33, NBR70A	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		B02	EA	            180
			BB17-000104-24	BB17-000104-24	SHCS HEX, 3/8-16UNRCX1,25, 316SH	DepReq	QM-lot	        10003210783		-8	             16		20.10.2022	20.10.2022	06.12.2022	C03	             8792202		BC5	EA	            150
			BB15-000624-71	BB15-000624-71	COMPENSATION COVER, POD PART	DepReq	ProjSt			-5					06.12.2022	C03	             8792202		BC3	EA	            140
			BB17-000102-85	BB17-000102-85	SCREW HEX, 10-32UNRFX0,375, 316SH	DepReq	ProjSt			-30					06.12.2022	C03	             8792202		BC5	EA	            150
			BB17-000103-17	BB17-000103-17	WASHER, LOCK,REGULAR SPRING, #10 NOM,316	DepReq	ProjSt			-30					06.12.2022	L02	             8792202		BC5	EA	            189
			BB17-000125-10	BB17-000125-10	WASHER, FLAT, #10, 316SS	DepReq	POitem	         4501729740	                  30	-30	             60			22.11.2022	06.12.2022	L02	             8792202		BC5	EA	            189
			BB17-000104-92	BB17-000104-92	SHCS HEX, 1/2-13UNRCX6,25, 316SH	DepReq	QM-lot	        10003213548		-12	             24		27.10.2022	27.10.2022	06.12.2022	C03	             8792202		BC5	EA	            280
			BB17-000103-02	BB17-000103-02	WASHER, LOCK,REGULAR SPRING, .500 NOM,31	DepReq	ProjSt			-23					06.12.2022	C03	             8792202		BC5	EA	            189
			BB17-000120-17	BB17-000120-17	NUT HEX, 0,5-13UNC, 316SH	DepReq	ProjSt			-13					06.12.2022	C03	             8792202		BC5	EA	            280
			BB15-000686-13	BB15-000686-13	CONN-ELECT, 8 CONTACT FLANGE MOUNTED, RO	DepReq	QM-lot	        10003211416		-1	              1		22.10.2022	22.10.2022	06.12.2022	C03	             8792202		BC7	EA	            250
			BB17-000295-05	BB17-000295-05	SCREW HEX, 0,25-20UNRCX0,625, TI2	DepReq	POitem	         4501728264	                 100	-24	             50			23.11.2022	06.12.2022	C03	             8792202		BC5	EA	            180
			BB15-000546-06	BB15-000546-06	ACCUMULATOR PART, BLADDER, MOD2.500 GALL	DepReq	POitem	         4501727060	                  20	-5	             10			06.12.2022	06.12.2022	C03	             8792202		BC5	EA	            214
			BB17-000231-06	BB17-000231-06	THREDSEAL, WASHER, .88" BOLT,1.562 OD X	DepReq	ProjSt			-5					06.12.2022	C03	             8792202		BC5	EA	            189
			BB17-000104-57	BB17-000104-57	SHCS HEX, 3/8-16UNRCX0,75, 316SH	DepReq	POitem	         4501728261	                  60	-30	             60			03.11.2022	06.12.2022	C03	             8792202		BC5	EA	            280
			BB11-KS0701-01	BB11-KS0701-01	CHOKE CONTROL VALVE - SWT (24Vdc)	DepReq	POitem	         4501726885	                  40	-2	              4			07.11.2022	06.12.2022	C03	             8792202		U30	EA	            280
			BB17-000284-90	BB17-000284-90	SHCS HEX, 7/16-14UNRCX1,25, 316SH	DepReq	QM-lot	        10003208956		-8	             16		17.10.2022	17.10.2022	06.12.2022	C03	             8792202		BC5	EA	            180
			BB15-000182-39	BB15-000182-39	ACC,PSTN,.57 GAL,20 KSI, 0.562 M/P FLUID	DepReq	POitem	         4501727060	                  30	-1	              2			07.11.2022	06.12.2022	C03	             8792202		BC5	EA	            280
			BB20-000111-77	BB20-000111-77	O-RING, 75,57x5,33, NBR70A	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		TS9	EA	            180
			BB20-000110-39	BB20-000110-39	O-RING BACKUP,8-337, 3.018 IDX .183 CS,	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		B02	EA	            180
			BB20-000119-06	BB20-000119-06	O-RING, 850,9x5,33, NBR70A	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		TS9	EA	            180
			BB17-000103-12	BB17-000103-12	WASHER, LOCK,REGULAR SPRING, .750 NOM,31	DepReq	POitem	         4501728264	                 110	-6	             10			09.11.2022	06.12.2022	C03	             8792202		BC5	EA	            189
